id, Race , Party ,Sex, Age  ,house district, Trial     , LettersSent , 2008_11_04       , 2010_11_02       , 2012_11_06       , 2014_11_04       , 2016_11_08        , 2018_11_06       
2743, W    , UNA   , F      ,47,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
2744, W    , DEM   , F      ,32,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2745, W    , UNA   , F      ,42,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
2746, W    , DEM   , F      ,38,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2747, O    , UNA   , F      ,36,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , IN-PERSON        
2748, W    , UNA   , F      ,30,1, TREATMENT ,3, IN-PERSON        , IN-PERSON        , IN-PERSON        , DID NOT VOTE     , ABSENTEE BY MAIL  , ABSENTEE BY MAIL 
2749, W    , DEM   , F      ,35,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE     , DID NOT VOTE     , DID NOT VOTE      , DID NOT VOTE     
2750, B    , DEM   , F      ,45,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2751, W    , UNA   , F      ,32,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , DID NOT VOTE     
2752, O    , DEM   , F      ,56,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2753, B    , DEM   , F      ,25,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2754, W    , UNA   , F      ,24,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
2755, U    , DEM   , F      ,36,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2756, W    , UNA   , F      ,58,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2757, W    , DEM   , F      ,67,1, TREATMENT ,3, NOT REGISTERED   , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2758, B    , DEM   , F      ,25,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2759, A    , UNA   , F      ,45,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , ABSENTEE ONESTOP  , DID NOT VOTE     
2760, B    , UNA   , F      ,64,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE BY MAIL 
2761, W    , UNA   , F      ,31,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , ABSENTEE ONESTOP 
2762, W    , DEM   , F      ,44,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
2763, W    , UNA   , F      ,33,1, TREATMENT ,3, DID NOT VOTE     , DID NOT VOTE     , DID NOT VOTE     , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
2764, B    , DEM   , F      ,23,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2765, W    , DEM   , F      ,38,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , IN-PERSON         , ABSENTEE ONESTOP 
2766, B    , DEM   , F      ,68,1, TREATMENT ,3, ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
2767, W    , DEM   , F      ,48,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2768, W    , DEM   , F      ,22,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE     , DID NOT VOTE      , DID NOT VOTE     
2769, W    , DEM   , F      ,33,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
2770, W    , UNA   , F      ,74,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , IN-PERSON         , IN-PERSON        
2771, W    , UNA   , F      ,49,1, TREATMENT ,3, IN-PERSON        , IN-PERSON        , DID NOT VOTE     , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2772, W    , DEM   , F      ,67,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2773, W    , UNA   , F      ,35,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2774, W    , DEM   , F      ,37,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE BY MAIL , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
2775, W    , DEM   , F      ,34,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , DID NOT VOTE     , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2776, B    , UNA   , F      ,44,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , ABSENTEE ONESTOP  , DID NOT VOTE     
2777, B    , DEM   , F      ,42,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2778, W    , UNA   , F      ,53,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2779, A    , UNA   , U      ,46,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , IN-PERSON         , IN-PERSON        
2780, W    , DEM   , F      ,27,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , TRANSFER         , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2781, W    , DEM   , F      ,41,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE      , DID NOT VOTE     
2782, W    , DEM   , F      ,49,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2783, W    , UNA   , F      ,33,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
2784, W    , DEM   , F      ,35,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , IN-PERSON        
2785, W    , DEM   , F      ,51,1, TREATMENT ,3, DID NOT VOTE     , DID NOT VOTE     , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , DID NOT VOTE     
2786, W    , DEM   , F      ,22,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE      , DID NOT VOTE     
2787, W    , DEM   , F      ,21,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , DID NOT VOTE     
2788, W    , DEM   , F      ,40,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2789, W    , DEM   , F      ,21,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON         , IN-PERSON        
2790, W    , DEM   , F      ,48,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , IN-PERSON        
2791, O    , DEM   , F      ,38,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , IN-PERSON        
2792, W    , UNA   , F      ,34,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
2793, W    , DEM   , F      ,53,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON         , IN-PERSON        
2794, W    , DEM   , F      ,50,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2795, A    , UNA   , F      ,22,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2796, W    , DEM   , F      ,28,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2797, W    , DEM   , F      ,37,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON         , IN-PERSON        
2798, B    , DEM   , F      ,37,1, TREATMENT ,3, IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON         , DID NOT VOTE     
2799, W    , DEM   , F      ,21,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE BY MAIL  , IN-PERSON        
2800, W    , UNA   , F      ,22,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2801, W    , UNA   , F      ,20,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2802, W    , DEM   , F      ,26,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE      , DID NOT VOTE     
2803, W    , DEM   , F      ,20,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON         , IN-PERSON        
2804, W    , UNA   , F      ,20,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , IN-PERSON        
2805, W    , DEM   , F      ,43,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2806, W    , UNA   , F      ,46,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
2807, O    , DEM   , F      ,55,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , IN-PERSON        
2808, W    , DEM   , F      ,33,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , DID NOT VOTE     
2809, W    , DEM   , U      ,35,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2810, W    , UNA   , F      ,21,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , DID NOT VOTE     
2811, W    , DEM   , F      ,20,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE      , DID NOT VOTE     
2812, B    , DEM   , F      ,25,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON         , DID NOT VOTE     
2813, B    , DEM   , F      ,29,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE      , DID NOT VOTE     
2814, W    , DEM   , F      ,55,1, TREATMENT ,3, IN-PERSON        , IN-PERSON        , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
2815, W    , DEM   , U      ,45,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON         , ABSENTEE ONESTOP 
2816, B    , DEM   , F      ,22,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE      , DID NOT VOTE     
2817, W    , DEM   , U      ,53,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
2818, W    , DEM   , F      ,82,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE BY MAIL  , ABSENTEE ONESTOP 
2819, W    , UNA   , F      ,36,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON         , ABSENTEE BY MAIL 
2820, B    , DEM   , F      ,46,1, TREATMENT ,3, DID NOT VOTE     , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
2821, B    , UNA   , F      ,72,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON         , ABSENTEE ONESTOP 
2822, W    , DEM   , U      ,43,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , DID NOT VOTE     , DID NOT VOTE     , IN-PERSON         , DID NOT VOTE     
2823, W    , DEM   , F      ,62,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2824, W    , DEM   , F      ,70,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2825, W    , UNA   , F      ,35,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON         , IN-PERSON        
2826, B    , DEM   , U      ,42,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , DID NOT VOTE     
2827, B    , DEM   , F      ,51,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2828, W    , DEM   , F      ,61,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2829, W    , DEM   , F      ,31,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2830, B    , UNA   , F      ,30,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
2831, W    , UNA   , F      ,33,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , IN-PERSON         , IN-PERSON        
2832, U    , UNA   , U      ,35,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
2833, U    , DEM   , F      ,55,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP  , DID NOT VOTE     
2834, U    , DEM   , F      ,53,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
2835, W    , DEM   , F      ,52,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , IN-PERSON        
2836, W    , UNA   , F      ,49,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , ABSENTEE ONESTOP 
2837, W    , DEM   , F      ,35,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
2838, W    , DEM   , U      ,70,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , ABSENTEE ONESTOP 
2839, B    , DEM   , F      ,46,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
2840, O    , DEM   , F      ,20,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
2841, W    , UNA   , F      ,19,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
2842, W    , UNA   , F      ,31,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , IN-PERSON        
2843, O    , DEM   , F      ,27,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
2844, O    , DEM   , F      ,62,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , IN-PERSON        
2845, M    , UNA   , F      ,19,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
2846, B    , DEM   , F      ,20,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
2847, W    , UNA   , F      ,19,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , ABSENTEE ONESTOP 
2848, W    , DEM   , F      ,54,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , DID NOT VOTE      , DID NOT VOTE     
2849, B    , DEM   , F      ,19,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , DID NOT VOTE     
2850, W    , UNA   , F      ,19,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , ABSENTEE ONESTOP 
2851, W    , DEM   , F      ,19,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , ABSENTEE ONESTOP 
2852, U    , DEM   , F      ,25,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , DID NOT VOTE     
2853, W    , UNA   , F      ,39,1, TREATMENT ,3, IN-PERSON        , IN-PERSON        , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
2854, W    , UNA   , F      ,30,1, TREATMENT ,3, NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED   , NOT REGISTERED    , IN-PERSON        
2855, U    , UNA   , U      ,40,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2856, U    , DEM   , F      ,39,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2857, W    , DEM   , F      ,54,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE BY MAIL , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2858, B    , DEM   , F      ,53,1, TREATMENT ,3, ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2859, W    , DEM   , F      ,56,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2860, W    , DEM   , F      ,51,1, TREATMENT ,3, IN-PERSON        , IN-PERSON        , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
2861, B    , DEM   , F      ,58,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
2862, W    , DEM   , F      ,48,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
2863, W    , DEM   , F      ,67,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE BY MAIL  , DID NOT VOTE     
2864, W    , DEM   , F      ,46,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , ABSENTEE ONESTOP , IN-PERSON         , IN-PERSON        
2865, W    , DEM   , F      ,50,1, TREATMENT ,3, IN-PERSON        , IN-PERSON        , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
2866, W    , UNA   , F      ,61,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE BY MAIL  , ABSENTEE ONESTOP 
2867, B    , UNA   , F      ,68,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
2868, W    , UNA   , F      ,64,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
2869, B    , DEM   , F      ,45,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2870, W    , DEM   , F      ,42,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
2871, W    , UNA   , F      ,77,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON         , DID NOT VOTE     
2872, W    , UNA   , F      ,61,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2873, W    , UNA   , F      ,52,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , DID NOT VOTE     
2874, W    , UNA   , F      ,78,1, TREATMENT ,3, IN-PERSON        , IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2875, B    , DEM   , F      ,47,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , DID NOT VOTE      , DID NOT VOTE     
2876, W    , DEM   , F      ,55,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , ABSENTEE BY MAIL 
2877, W    , UNA   , F      ,48,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
2878, W    , DEM   , F      ,57,1, TREATMENT ,3, DID NOT VOTE     , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2879, W    , DEM   , F      ,45,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , IN-PERSON        
2880, W    , DEM   , F      ,43,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE BY MAIL 
2881, W    , DEM   , F      ,46,1, TREATMENT ,3, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
2882, W    , UNA   , F      ,69,1, TREATMENT ,3, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
2883, W    , DEM   , F      ,48,1, TREATMENT ,3, IN-PERSON        , DID NOT VOTE     , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
2884, W    , UNA   , F      ,49,1, TREATMENT ,3, ABSENTEE BY MAIL , DID NOT VOTE     , IN-PERSON        , DID NOT VOTE     , ABSENTEE BY MAIL  , DID NOT VOTE     
